category_id,category_name,prompt_id,prompt_text,has_text,expected_texts,expected_counts,no_people
C1,Character portrait,C1-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Portrait, waist-up, adult female science teacher: medium-brown skin, curly shoulder-length hair, round gold glasses, cobalt lab coat, blue lanyard, smiling, holding a red magnet; soft classroom bokeh.",False,,,False
C1,Character portrait,C1-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Portrait, waist-up, adult male math teacher: East Asian appearance, short black hair with a cyan streak on the right, white shirt (sleeves rolled), striped navy tie, holding a green marker; whiteboard bokeh.",False,,,False
C1,Character portrait,C1-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Chibi fox mascot: orange fur, white muzzle, big eyes, green scarf, waving; badge-shape backdrop.",False,,,False
C1,Character portrait,C1-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Friendly robot: rounded white body with teal accents, single antenna, smiling LED eyes; small clipboard; lab bokeh.",False,,,False
C1,Character portrait,C1-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Child protagonist: freckles, shoulder-length red hair, yellow raincoat, holding a blue book with a star on the cover; library bokeh.",False,,,False
C2,Action / motion,C2-P1,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Full body, adult female science teacher skipping rope in a gym; red sneakers, green rope, strong motion lines, dynamic angle.",False,,,False
C2,Action / motion,C2-P2,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Adult male teacher running after a paper plane outdoors; exactly 3 loose sheets flying nearby; warm sunset lighting.",False,,"{""loose_sheets"": 3}",False
C2,Action / motion,C2-P3,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Child in a yellow raincoat jumping over a puddle in light rain; yellow boots; visible splash droplets; city sidewalk.",False,,,False
C2,Action / motion,C2-P4,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Fox mascot riding a blue bicycle; scarf trailing behind; park path with scattered autumn leaves.",False,,,False
C2,Action / motion,C2-P5,"2D animation / anime style, cel-shaded, clean bold outlines, SFW, family-friendly, vibrant but not neon, avoid photorealistic textures. Unless specified, do not add on-image text or watermarks. Emphasize clarity and readability. When a phrase appears in quotes below, render the phrase in the image without quotation marks. Render all on-image text in UPPERCASE ASCII (no curly punctuation). Do not reference or imitate the style of any living artist or copyrighted characters. Friendly round white robot with teal accents stacking boxes labeled 1, 2, 3; action lines; warehouse shelves in background.",True,1|2|3,,False
